Table 3. Relevant Code of Federal Regulations,
21 CFR § 310.300 – 310.548,New Drugs
21 CFR § 312.800 – 312.880,Drugs Intended to Treat Life-threatening and Severely-debilitating Illnesses
21 CFR § 314.920 – 314.990,Abbreviated (New Drug) Applications
21 CFR § 316.100 – 316.520,Acquisition of Genetic Information
21 CFR § 312.300 – 312.320,Expanded Access to Investigational Drugs for Treatment Use
21 CFR § 610.100 – 610.680,General Biological Products Standards
21 CFR § 800.100 – 800.750,Medical Devices General (Standards)
21 CFR § 809.300 – 809.400,In Vitro Diagnostic Products for Human Use
21 CFR § 820.100 – 820.450,Quality Management System Regulation
21 CFR § 830.300 – 830.360,Unique Device Identification
21 CFR § 860.100 – 860.260,Medical Device Classification Procedures
21 CFR § 892.201,Medical Image Storage Device
21 CFR § 892.202,Medical Image Communications Device
21 CFR § 892.202,Medical Image Digitizer
21 CFR § 892.204,Medical Image Hardcopy Device
21 CFR § 892.205,Medical Image Management and Processing System
21 CFR § 892.207,Medical Image Analyzer
21 CFR § 1271.100 – 1271.440,"Human Cells, Tissues, and Cellular and Tissue-Based Products"
